market_name,listing_title,price,dosage,rating,review,description,number_in_stocks,original_url,category_page,fetched_at,matched_categories,matched_terms,matched_terms,matched_categories
Drug Hub,loette (generic ethinylestradiol and levonorgestrel) 42 tablets,,48g | 1g | 1mg,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/16176ee9?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Ethinylestradiol&search=simple,1781634486,contraception,Ethinyl estradiol; Ethinylestradiol; Levonorgestrel,Ethinyl estradiol; Ethinylestradiol; Levonorgestrel,contraception
Drug Hub,femilon 0.15mg/0.02mg (generic desogestrel and ethinylestradiol) 21 tablets,,1g | 48g | 15mg,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/63dfb220?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Ethinylestradiol&search=simple,1781634487,contraception,Ethinyl estradiol; Ethinylestradiol,Ethinyl estradiol; Ethinylestradiol,contraception
Drug Hub,morning pill 1.5mg (generic levonorgestrel) 10 tablets,,1g | 48g | 2g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/a786a340?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Levonorgestrel&search=simple,1781634546,contraception,Levonorgestrel,Levonorgestrel,contraception
Drug Hub,morning pill 1.5mg (generic levonorgestrel) 10 tablets,,1g | 48g | 2g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/8d68931f?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Levonorgestrel&search=simple,1781634547,contraception,Levonorgestrel,Levonorgestrel,contraception
Drug Hub,Norethisterone Enanthate 50 mg + Estradiol Cypionate 10 mg / 1mL 10 mL Vial (mesigyna) (progesterone) (estrogen),,64 g | 1mL | 1g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/983d6a23?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Progesterone&search=simple,1781635713,contraception,Estradiol; Norethisterone; Progesterone,Estradiol; Norethisterone; Progesterone,contraception
Drug Hub,Estradiol Valerate 40mg/mL - 10 mL,,64 g | 1g | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/6b541ead?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Progesterone&search=simple,1781635712,contraception,Estradiol,Estradiol,contraception
Drug Hub,estraheal 2mg (generic estradiol) 28 tablets,,64 g | 1g | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/bcd95530?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Estradiol&search=simple,1781635968,contraception,Estradiol,Estradiol,contraception
Drug Hub,progynova 1mg (generic estradiol) 28 tablets,,64 g | 1g | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/a399a30e?page=2,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Estradiol&search=simple&page=2,1781636009,contraception,Estradiol,Estradiol,contraception
Drug Hub,progynova 1mg (generic estradiol) 28 tablets,,64 g | 1g | 48g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/05dd13c3?page=2,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Estradiol&search=simple&page=2,1781636015,contraception,Estradiol,Estradiol,contraception
Drug Hub,mifegest kit (generic misoprostol and mifepristone) 5 tablets,,200mg | 48g | 1g,,,,,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/listing/d74bb864?page=0,http://drughubdzlrwp2pyserbkmc2sxbxzrjvutirthcyqn6c2p46qcc7mlyd.onion/?search_terms=Misoprostol&search=simple,1781636324,abortion,Mifepristone; Misoprostol,Mifepristone; Misoprostol,abortion
